"model_ID","dataset_ref","experiment","doi","atlas"
"CANESM5","ssp1_1_9/CANESM5","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.3682",0
"EC-EARTH3","ssp1_1_9/EC-EARTH3","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.4870",0
"EC-EARTH3-VEG","ssp1_1_9/EC-EARTH3-VEG","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.4872",0
"EC-EARTH3-VEG-LR","ssp1_1_9/EC-EARTH3-VEG-LR","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.4873",0
"MIROC-ES2L","ssp1_1_9/MIROC-ES2L","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.5740",0
"MIROC6","ssp1_1_9/MIROC6","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.5741",0
"MRI-ESM2-0","ssp1_1_9/MRI-ESM2-0","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.6908",0
"FGOALS-G3","ssp1_1_9/FGOALS-G3","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.3462",0
"GFDL-ESM4","ssp1_1_9/GFDL-ESM4","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.8683",0
"IPSL-CM6A-LR","ssp1_1_9/IPSL-CM6A-LR","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.5261",0
"ACCESS-CM2","ssp1_2_6/ACCESS-CM2","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.4319",1
"AWI-CM-1-1-MR","ssp1_2_6/AWI-CM-1-1-MR","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.2796",1
"CESM2","ssp1_2_6/CESM2","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.7746",1
"CMCC-CM2-SR5","ssp1_2_6/CMCC-CM2-SR5","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.3887",1
"CMCC-ESM2","ssp1_2_6/CMCC-ESM2","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.13250",0
"CANESM5","ssp1_2_6/CANESM5","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.3683",1
"CANESM5-CANOE","ssp1_2_6/CANESM5-CANOE","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.10269",0
"GFDL-ESM4","ssp1_2_6/GFDL-ESM4","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.8684",1
"INM-CM4-8","ssp1_2_6/INM-CM4-8","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.12325",1
"INM-CM5-0","ssp1_2_6/INM-CM5-0","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.12326",1
"MCM-UA-1-0","ssp1_2_6/MCM-UA-1-0","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.13895",0
"MIROC-ES2L","ssp1_2_6/MIROC-ES2L","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.5742",1
"MIROC6","ssp1_2_6/MIROC6","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.5743",1
"MPI-ESM1-2-LR","ssp1_2_6/MPI-ESM1-2-LR","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.6690",1
"MRI-ESM2-0","ssp1_2_6/MRI-ESM2-0","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.6909",1
"NORESM2-LM","ssp1_2_6/NORESM2-LM","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.8248",1
"NORESM2-MM","ssp1_2_6/NORESM2-MM","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.8250",1
"TAIESM1","ssp1_2_6/TAIESM1","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.9806",0
"CIESM","ssp1_2_6/CIESM","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.8857",0
"CNRM-CM6-1","ssp1_2_6/CNRM-CM6-1","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.4184",1
"CNRM-CM6-1-HR","ssp1_2_6/CNRM-CM6-1-HR","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.4185",1
"CNRM-ESM2-1","ssp1_2_6/CNRM-ESM2-1","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.4186",1
"EC-EARTH3-VEG-LR","ssp1_2_6/EC-EARTH3-VEG-LR","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.4877",0
"FIO-ESM-2-0","ssp1_2_6/FIO-ESM-2-0","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.9208",0
"KIOST-ESM","ssp1_2_6/KIOST-ESM","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.11243",1
"EC-EARTH3","ssp1_2_6/EC-EARTH3","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.4874",1
"EC-EARTH3-VEG","ssp1_2_6/EC-EARTH3-VEG","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.4876",1
"FGOALS-G3","ssp1_2_6/FGOALS-G3","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.3465",1
"IPSL-CM5A2-INCA","ssp1_2_6/IPSL-CM5A2-INCA","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.15711",0
"IPSL-CM6A-LR","ssp1_2_6/IPSL-CM6A-LR","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.5262",1
"ACCESS-CM2","ssp2_4_5/ACCESS-CM2","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.4321",1
"AWI-CM-1-1-MR","ssp2_4_5/AWI-CM-1-1-MR","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.2800",1
"CESM2","ssp2_4_5/CESM2","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.7748",1
"CMCC-CM2-SR5","ssp2_4_5/CMCC-CM2-SR5","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.3889",1
"CMCC-ESM2","ssp2_4_5/CMCC-ESM2","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.13252",0
"CANESM5","ssp2_4_5/CANESM5","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.3685",1
"CANESM5-CANOE","ssp2_4_5/CANESM5-CANOE","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.10270",0
"FGOALS-G3","ssp2_4_5/FGOALS-G3","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.3469",1
"INM-CM4-8","ssp2_4_5/INM-CM4-8","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.12327",1
"INM-CM5-0","ssp2_4_5/INM-CM5-0","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.12328",1
"MIROC-ES2L","ssp2_4_5/MIROC-ES2L","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.5745",1
"MIROC6","ssp2_4_5/MIROC6","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.5746",1
"MPI-ESM1-2-LR","ssp2_4_5/MPI-ESM1-2-LR","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.6693",1
"MRI-ESM2-0","ssp2_4_5/MRI-ESM2-0","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.6910",1
"TAIESM1","ssp2_4_5/TAIESM1","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.9808",0
"MCM-UA-1-0","ssp2_4_5/MCM-UA-1-0","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.13896",0
"NORESM2-LM","ssp2_4_5/NORESM2-LM","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.8253",1
"NORESM2-MM","ssp2_4_5/NORESM2-MM","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.8255",1
"CIESM","ssp2_4_5/CIESM","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.8858",0
"EC-EARTH3","ssp2_4_5/EC-EARTH3","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.4880",1
"EC-EARTH3-CC","ssp2_4_5/EC-EARTH3-CC","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.15631",0
"EC-EARTH3-VEG","ssp2_4_5/EC-EARTH3-VEG","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.4882",1
"EC-EARTH3-VEG-LR","ssp2_4_5/EC-EARTH3-VEG-LR","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.4883",0
"FIO-ESM-2-0","ssp2_4_5/FIO-ESM-2-0","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.9209",0
"KIOST-ESM","ssp2_4_5/KIOST-ESM","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.11244",1
"GFDL-ESM4","ssp2_4_5/GFDL-ESM4","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.8686",1
"IPSL-CM6A-LR","ssp2_4_5/IPSL-CM6A-LR","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.5264",1
"CNRM-CM6-1","ssp2_4_5/CNRM-CM6-1","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.4189",1
"CNRM-CM6-1-HR","ssp2_4_5/CNRM-CM6-1-HR","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.4190",1
"CNRM-ESM2-1","ssp2_4_5/CNRM-ESM2-1","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.4191",1
"ACCESS-CM2","ssp5_8_5/ACCESS-CM2","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4332",1
"CESM2","ssp5_8_5/CESM2","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.7768",1
"CIESM","ssp5_8_5/CIESM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.8863",0
"CMCC-CM2-SR5","ssp5_8_5/CMCC-CM2-SR5","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.3896",1
"CMCC-ESM2","ssp5_8_5/CMCC-ESM2","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.13259",0
"CNRM-CM6-1","ssp5_8_5/CNRM-CM6-1","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4224",1
"CNRM-CM6-1-HR","ssp5_8_5/CNRM-CM6-1-HR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4225",1
"CNRM-ESM2-1","ssp5_8_5/CNRM-ESM2-1","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4226",1
"CANESM5-CANOE","ssp5_8_5/CANESM5-CANOE","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.10276",0
"EC-EARTH3-CC","ssp5_8_5/EC-EARTH3-CC","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.15636",0
"EC-EARTH3-VEG-LR","ssp5_8_5/EC-EARTH3-VEG-LR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4915",0
"FIO-ESM-2-0","ssp5_8_5/FIO-ESM-2-0","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.9214",0
