"gcm","institution","aerosol","atmos","atmosChem","land","landIce","ocean","ocnBgchem","seaIce"
"E3SM-2-0","E3SM-Project","E3SM-2-0_aerosol_MAM4","E3SM-2-0_atmos_EAM","E3SM-2-0_atmosChem_troposhere-specified-oxidants-for-aerosols_LINOZv2","E3SM-2-0_land_ELM_MOSART","none","E3SM-2-0_ocean_MPAS-Ocean_E3SMv2.0","none","E3SM-2-0_seaIce_MPAS-Seaice"
"E3SM-2-0-NARRM","E3SM-Project","E3SM-2-0-NARRM_aerosol_MAM4","E3SM-2-0-NARRM_atmos_EAM","E3SM-2-0-NARRM_atmosChem_troposhere-specified-oxidants-for-aerosols_LINOZv2","E3SM-2-0-NARRM_land_ELM_MOSART","none","E3SM-2-0-NARRM_ocean_MPAS-Ocean_E3SMv2.0","none","E3SM-2-0-NARRM_seaIce_MPAS-Seaice_E3SMv2.0"
"E3SM-2-1","E3SM-Project","E3SM-2-1_aerosol_MAM4","E3SM-2-1_atmos_EAM","E3SM-2-1_atmosChem_troposhere-specified-oxidants-for-aerosols_LINOZv2","E3SM-2-1_land_ELM_MOSART","none","E3SM-2-1_ocean_MPAS-Ocean_E3SMv2.1","none","E3SM-2-1_seaIce_MPAS-Seaice_E3SMv2.1"
"EC-Earth3","EC-Earth-Consortium","none","EC-Earth3_atmos_IFS","none","EC-Earth3_land_HTESSEL","none","EC-Earth3_ocean_NEMO3.6_ORCA1","none","EC-Earth3_seaIce_LIM3"
"EC-Earth3-AerChem","EC-Earth-Consortium","EC-Earth3-AerChem_aerosol_TM5","EC-Earth3-AerChem_atmos_IFS","EC-Earth3-AerChem_atmosChem_TM5","EC-Earth3-AerChem_land_HTESSEL","none","EC-Earth3-AerChem_ocean_NEMO3.6_ORCA1","none","EC-Earth3-AerChem_seaIce_LIM3"
"EC-Earth3-CC","EC-Earth-Consortium","none","EC-Earth3-CC_atmos_IFS","EC-Earth3-CC_atmosChem_TM5","EC-Earth3-CC_land_HTESSEL","none","EC-Earth3-CC_ocean_NEMO3.6_ORCA1","EC-Earth3-CC_ocnBgchem_PISCES2","EC-Earth3-CC_seaIce_LIM3"
"EC-Earth3-ESM-1","EC-Earth-Consortium","none","EC-Earth3-ESM-1_atmos_IFS","none","EC-Earth3-ESM-1_land_HTESSEL","EC-Earth3-ESM-1_landIce_PISM1.2","EC-Earth3-ESM-1_ocean_NEMO3.6_ORCA1","EC-Earth3-ESM-1_ocnBgchem_PISCES2","EC-Earth3-ESM-1_seaIce_LIM3"
"EC-Earth3-GrIS","EC-Earth-Consortium","none","EC-Earth3-GrIS_atmos_IFS","none","EC-Earth3-GrIS_land_HTESSEL","EC-Earth3-GrIS_landIce_PISM1.2","EC-Earth3-GrIS_ocean_NEMO3.6_ORCA1","none","EC-Earth3-GrIS_seaIce_LIM3"
"EC-Earth3-HR","EC-Earth-Consortium","none","EC-Earth3-HR_atmos_IFS","none","EC-Earth3-HR_land_HTESSEL","none","EC-Earth3-HR_ocean_NEMO3.6_ORCA025","none","EC-Earth3-HR_seaIce_LIM3"
"EC-Earth3-LR","EC-Earth-Consortium","none","EC-Earth3-LR_atmos_IFS","none","EC-Earth3-LR_land_HTESSEL","none","EC-Earth3-LR_ocean_NEMO3.6_ORCA1","none","EC-Earth3-LR_seaIce_LIM3"
"EC-Earth3-Veg","EC-Earth-Consortium","none","EC-Earth3-Veg_atmos_IFS","none","EC-Earth3-Veg_land_HTESSEL","none","EC-Earth3-Veg_ocean_NEMO3.6_ORCA1","none","EC-Earth3-Veg_seaIce_LIM3"
"EC-Earth3-Veg-LR","EC-Earth-Consortium","none","EC-Earth3-Veg-LR_atmos_IFS","none","EC-Earth3-Veg-LR_land_HTESSEL","none","EC-Earth3-Veg-LR_ocean_NEMO3.6_ORCA1","none","EC-Earth3-Veg-LR_seaIce_LIM3"
"EC-Earth3P","EC-Earth-Consortium","none","EC-Earth3P_atmos_IFS","none","EC-Earth3P_land_HTESSEL","none","EC-Earth3P_ocean_NEMO3.6_ORCA1","none","EC-Earth3P_seaIce_LIM3"
"FGOALS-f3-H","CAS","none","FGOALS-f3-H_atmos_FAMIL2.2","none","FGOALS-f3-H_land_CLM4.0","none","FGOALS-f3-H_ocean_LICOM3.0","none","FGOALS-f3-H_seaIce_CICE4.0"
"FGOALS-f3-L","CAS","none","FGOALS-f3-L_atmos_FAMIL2.2","none","FGOALS-f3-L_land_CLM4.0","none","FGOALS-f3-L_ocean_LICOM3.0","none","FGOALS-f3-L_seaIce_CICE4.0"
"FGOALS-g3","CAS","none","FGOALS-g3_atmos_GAMIL3","none","FGOALS-g3_land_CAS-LSM","none","FGOALS-g3_ocean_LICOM3.0","none","FGOALS-g3_seaIce_CICE4.0"
"FIO-ESM-2-0","FIO-QLNM","FIO-ESM-2-0_aerosol_prescribed","FIO-ESM-2-0_atmos_CAM4","none","FIO-ESM-2-0_land_CLM4.0","none","FIO-ESM-2-0_ocean_POP2-W","none","FIO-ESM-2-0_seaIce_CICE4.0"
"GFDL-AM4","NOAA-GFDL","GFDL-AM4_aerosol_interactive","GFDL-AM4_atmos_GFDL-AM4.0","GFDL-AM4_atmosChem_fast-chemistry-aerosol-only","GFDL-AM4_land_GFDL-LM4.0","GFDL-AM4_landIce_GFDL-LM4.0","none","none","none"
"GFDL-CM4","NOAA-GFDL","GFDL-CM4_aerosol_interactive","GFDL-CM4_atmos_GFDL-AM4","GFDL-CM4_atmosChem_fast-chemistry-aerosol-only","GFDL-CM4_land_GFDL-LM4.0.1","GFDL-CM4_landIce_GFDL-LM4.0.1","GFDL-CM4_ocean_GFDL-OM4p25","GFDL-CM4_ocnBgchem_GFDL-BLINGv2","GFDL-CM4_seaIce_GFDL-SIM4p25"
